date,category,tags,expense,income,amount_clp,description,day
2025-05-14,Home & Utilities,phone accessories,16990.0,0.0,16990.0,Phone screen protector,Wednesday
2025-05-14,Home & Utilities,phone accessories,13381.0,0.0,13381.0,Peyu phone case,Wednesday
2025-05-14,Education,books/library,14990.0,0.0,14990.0,Silent Book Club Firma Virtual,Wednesday
2025-05-15,Education,AI,5.95,0.0,5587.0,ChatGPT API Key,Thursday
2025-05-15,Food & Drinks,alcohol,15950.0,0.0,15950.0,none,Thursday
2025-05-15,Food & Drinks,restaurants,68200.0,0.0,68200.0,none,Thursday
2025-05-16,Health & Personal Care,medical services,136259.0,0.0,136259.0,Invisalign,Friday
2025-05-16,Leisure,movies & TV,2490.0,0.0,2490.0,Apple TV rental Victoria & Abdul,Friday
2025-05-16,Health & Personal Care,medical services,13566.0,0.0,13566.0,Dental,Friday
2025-05-16,Food & Drinks,restaurants,7152.0,0.0,7152.0,none,Friday
2025-05-16,Transport,taxi,7311.0,0.0,7311.0,none,Friday
2025-05-17,Health & Personal Care,cosmetics,17980.0,0.0,17980.0,Cute bunny,Saturday
2025-05-17,Food & Drinks,coffee & tea,16000.0,0.0,16000.0,none,Saturday
2025-05-17,Food & Drinks,restaurants,19030.0,0.0,19030.0,none,Saturday
2025-05-18,Clothing & Footwear,underwear,17000.0,0.0,17000.0,Nubody underwear,Sunday
2025-05-18,Transport,taxi,6798.0,0.0,6798.0,none,Sunday
2025-05-18,Food & Drinks,groceries,28918.0,0.0,28918.0,none,Sunday
2025-05-18,Health & Personal Care,gym/exercise,21000.0,0.0,21000.0,Kitty yoga,Sunday
2025-05-18,Transport,taxi,4157.0,0.0,4157.0,none,Sunday
2025-05-18,Food & Drinks,restaurants,12469.0,0.0,12469.0,none,Sunday
2025-05-18,Transport,travel card,4000.0,0.0,4000.0,none,Sunday
2025-05-19,Food & Drinks,groceries,3500.0,0.0,3500.0,none,Monday
2025-05-19,Food & Drinks,groceries,20990.0,0.0,20990.0,none,Monday
2025-05-19,Home & Utilities,gastos comunes,186717.0,0.0,186717.0,none,Monday
2025-05-19,Home & Utilities,cat,49680.0,0.0,49680.0,Leyla food,Monday
