Date,Account,Category,Tags,Expense amount,Income amount,Currency,In main currency,Main currency,Description
1/25/25,DBS Savings,Transport,taxi,"28,000",0,CLP,"28,000",CLP,Boat museum
1/25/25,DBS Savings,Food & Drinks,restaurants,"20,280",0,CLP,"20,280",CLP,
1/25/25,DBS Savings,Transport,travel,"84,000",0,CLP,"84,000",CLP,Punta Arenas city tour
1/25/25,DBS Savings,Transport,travel,"48,480",0,CLP,"48,480",CLP,Bus to Punta Arenas
1/25/25,DBS Savings,Transport,taxi,"2,195",0,CLP,"2,195",CLP,
1/26/25,DBS Savings,Transport,taxi,"6,998",0,CLP,"6,998",CLP,
1/26/25,DBS Savings,Food & Drinks,restaurants,"36,638",0,CLP,"36,638",CLP,
1/26/25,DBS Savings,Food & Drinks,coffee & tea,"4,600",0,CLP,"4,600",CLP,
1/26/25,DBS Savings,Food & Drinks,groceries,"2,080",0,CLP,"2,080",CLP,
1/27/25,DBS Savings,Transport,taxi,"2,697",0,CLP,"2,697",CLP,
1/27/25,DBS Savings,Food & Drinks,groceries,"32,926",0,CLP,"32,926",CLP,
1/27/25,DBS Savings,Home & Utilities,gastos comunes,"495,301",0,CLP,"495,301",CLP,
1/27/25,DBS Savings,Food & Drinks,restaurants,"33,460",0,CLP,"33,460",CLP,
1/27/25,DBS Savings,Food & Drinks,groceries,"8,250",0,CLP,"8,250",CLP,
1/27/25,DBS Savings,Transport,taxi,"3,192",0,CLP,"3,192",CLP,
1/27/25,DBS Savings,Transport,taxi,"27,000",0,CLP,"27,000",CLP,Airport taxi
1/27/25,DBS Savings,Clothing & Footwear,shoes,"14,990",0,CLP,"14,990",CLP,Sneak Clean 
1/27/25,DBS Savings,Home & Utilities,cat,"303,000",0,CLP,"303,000",CLP,Leyla cat hotel
1/27/25,DBS Savings,Home & Utilities,cat,"57,890",0,CLP,"57,890",CLP,Laqu litter
1/28/25,DBS Savings,Health & Personal Care,cosmetics,"31,498",0,CLP,"31,498",CLP,Sunscreen
1/28/25,DBS Savings,Food & Drinks,restaurants,"39,368",0,CLP,"39,368",CLP,
1/29/25,DBS Savings,Food & Drinks,restaurants,"10,000",0,CLP,"10,000",CLP,
1/29/25,DBS Savings,Transport,travel,"237,507",0,CLP,"237,507",CLP,Valpo Viña trip
1/29/25,DBS Savings,Food & Drinks,coffee & tea,"4,180",0,CLP,"4,180",CLP,
1/29/25,DBS Savings,Food & Drinks,restaurants,"35,200",0,CLP,"35,200",CLP,
1/29/25,DBS Savings,Transport,taxi,"3,866",0,CLP,"3,866",CLP,
1/29/25,DBS Savings,Gifts,,"31,000",0,CLP,"31,000",CLP,Gifts for family
1/29/25,DBS Savings,Transport,taxi,"3,782",0,CLP,"3,782",CLP,
1/30/25,DBS Savings,Health & Personal Care,gym/exercise,"15,990",0,CLP,"15,990",CLP,ClassPass top up
1/30/25,DBS Savings,Transport,taxi,"3,693",0,CLP,"3,693",CLP,
1/30/25,DBS Savings,Transport,taxi,"4,228",0,CLP,"4,228",CLP,
1/30/25,DBS Savings,Transport,taxi,"1,855",0,CLP,"1,855",CLP,
1/31/25,DBS Savings,Transport,taxi,"3,096",0,CLP,"3,096",CLP,
1/31/25,DBS Savings,Transport,taxi,"3,697",0,CLP,"3,697",CLP,
1/31/25,DBS Savings,Transport,taxi,"7,294",0,CLP,"7,294",CLP,
1/31/25,DBS Savings,Food & Drinks,coffee & tea,"10,000",0,CLP,"10,000",CLP,
1/31/25,DBS Savings,Clothing & Footwear,accessories,"53,990",0,CLP,"53,990",CLP,Kadú bag
1/31/25,DBS Savings,Food & Drinks,restaurants,"41,976",0,CLP,"41,976",CLP,
2/1/25,DBS Savings,Gifts,,"28,698",0,CLP,"28,698",CLP,Maqui powder
2/1/25,DBS Savings,Health & Personal Care,medicine,"15,377",0,CLP,"15,377",CLP,Lexapro
2/2/25,DBS Savings,Gifts,,"20,500",0,CLP,"20,500",CLP,Walnuts for mom
2/2/25,DBS Savings,Food & Drinks,groceries,"3,500",0,CLP,"3,500",CLP,Brekkie bread
2/2/25,DBS Savings,Food & Drinks,groceries,"20,242",0,CLP,"20,242",CLP,
2/2/25,DBS Savings,Health & Personal Care,medical services,"195,000",0,CLP,"195,000",CLP,Therapy
2/3/25,DBS Savings,Leisure,books,0.86,0,SGD,623.00,CLP,Audible
2/3/25,DBS Savings,Food & Drinks,restaurants,"9,424",0,CLP,"9,424",CLP,
2/3/25,DBS Savings,Food & Drinks,groceries,"22,708",0,CLP,"22,708",CLP,
2/3/25,DBS Savings,Food & Drinks,coffee & tea,"10,000",0,CLP,"10,000",CLP,
2/3/25,DBS Savings,Home & Utilities,rent,"887,205",0,CLP,"887,205",CLP,
2/4/25,DBS Savings,Transport,travel card,"6,000",0,CLP,"6,000",CLP,
2/4/25,DBS Savings,Education,AI,48.80,0,SGD,"35,316.00",CLP,Reflection AI
2/4/25,DBS Savings,Food & Drinks,groceries,"2,340",0,CLP,"2,340",CLP,
2/4/25,DBS Savings,Health & Personal Care,medical services,"1,375,580",0,CLP,"1,375,580",CLP,Invisalign
2/5/25,DBS Savings,Leisure,art,"40,260",0,CLP,"40,260",CLP,Canvases for gallery wall
2/6/25,DBS Savings,Food & Drinks,restaurants,"9,550",0,CLP,"9,550",CLP,
2/6/25,DBS Savings,Food & Drinks,restaurants,"9,303",0,CLP,"9,303",CLP,
2/6/25,DBS Savings,Health & Personal Care,cosmetics,"15,992",0,CLP,"15,992",CLP,3ina concealer
2/6/25,DBS Savings,Food & Drinks,restaurants,"5,500",0,CLP,"5,500",CLP,
2/7/25,DBS Savings,Food & Drinks,coffee & tea,"10,000",0,CLP,"10,000",CLP,
2/7/25,DBS Savings,Food & Drinks,groceries,"22,512",0,CLP,"22,512",CLP,
2/8/25,DBS Savings,Food & Drinks,restaurants,"13,740",0,CLP,"13,740",CLP,
2/8/25,DBS Savings,Transport,travel card,"4,000",0,CLP,"4,000",CLP,
2/8/25,DBS Savings,Home & Utilities,water,"188,070",0,CLP,"188,070",CLP,Maihue
2/8/25,DBS Savings,Transport,taxi,"3,995",0,CLP,"3,995",CLP,
2/9/25,DBS Savings,Food & Drinks,groceries,"55,182",0,CLP,"55,182",CLP,Protein powder
2/9/25,DBS Savings,Food & Drinks,groceries,"31,140",0,CLP,"31,140",CLP,
2/10/25,DBS Savings,Food & Drinks,groceries,"13,909",0,CLP,"13,909",CLP,
2/10/25,DBS Savings,Home & Utilities,internet,"26,387",0,CLP,"26,387",CLP,
2/10/25,DBS Savings,Leisure,books,"10,000",0,CLP,"10,000",CLP,Club de lectura lela
2/11/25,DBS Savings,Food & Drinks,groceries,"1,840",0,CLP,"1,840",CLP,
2/11/25,DBS Savings,Education,AI,"2,990",0,CLP,"2,990",CLP,Bear Pro
